Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"2,177 ",659 ,623 ,866 ,29 ,"95,907 ","66,332 ","21,827 ","7,744 ",4 ,"78,619 ","52,887 ","19,637 ","6,094 ",1 ,"14,096 ","10,930 ","1,769 ","1,397 ",0 ,"2,566 ","2,180 ",275 ,110 ,1 ,626 ,335 ,146 ,143 ,2 ,"3,096 ","1,969 ",553 ,518 ,56 ,"1,578 ","1,000 ",268 ,279 ,31 ,"1,518 ",969 ,285 ,239 ,25 ,"23,172 ","17,434 ","3,574 ","2,149 ",15 ,"19,254 ","14,988 ","2,826 ","1,440 ",0 ,"3,371 ","2,199 ",682 ,490 ,0 ,547 ,247 ,66 ,219 ,15 ,77 ,38 ,13 ,16 ,10 ,"669,172 ","484,817 ","118,674 ","60,162 ","5,519 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"2,365 ",590 ,558 ,"1,194 ",23 ,"77,816 ","46,921 ","18,903 ","11,986 ",6 ,"62,645 ","36,389 ","17,013 ","9,243 ",0 ,"13,087 ","9,284 ","1,474 ","2,329 ",0 ,"1,363 ",949 ,259 ,154 ,1 ,721 ,299 ,157 ,260 ,5 ,"2,619 ","1,517 ",411 ,633 ,58 ,"1,340 ",772 ,226 ,318 ,24 ,"1,279 ",745 ,185 ,315 ,34 ,"19,373 ","13,457 ","3,040 ","2,857 ",19 ,"16,019 ","11,631 ","2,399 ","1,989 ",0 ,"3,015 ","1,728 ",609 ,678 ,0 ,339 ,98 ,32 ,190 ,19 ,85 ,44 ,9 ,25 ,7 ,"618,655 ","426,917 ","100,056 ","86,740 ","4,942 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,618 ",939 ,691 ,961 ,27 ,"71,916 ","40,333 ","24,459 ","7,121 ",3 ,"58,916 ","31,698 ","21,871 ","5,347 ",0 ,"10,460 ","6,861 ","2,092 ","1,507 ",0 ,"1,928 ","1,480 ",318 ,130 ,0 ,612 ,294 ,178 ,137 ,3 ,"3,432 ","1,919 ",809 ,617 ,87 ,"1,817 ","1,005 ",466 ,301 ,45 ,"1,615 ",914 ,343 ,316 ,42 ,"25,283 ","19,483 ","3,871 ","1,914 ",15 ,"21,072 ","16,605 ","3,049 ","1,418 ",0 ,"3,849 ","2,750 ",745 ,354 ,0 ,362 ,128 ,77 ,142 ,15 ,72 ,26 ,13 ,26 ,7 ,"540,462 ","326,321 ","128,794 ","80,993 ","4,354 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,741 ",449 ,646 ,624 ,22 ,"92,773 ","57,057 ","29,917 ","5,796 ",3 ,"76,704 ","45,539 ","26,649 ","4,516 ",0 ,"13,461 ","9,846 ","2,603 ","1,012 ",0 ,"1,916 ","1,375 ",424 ,116 ,1 ,692 ,297 ,241 ,152 ,2 ,"3,949 ","2,308 ",907 ,670 ,64 ,"1,841 ","1,110 ",384 ,301 ,46 ,"2,108 ","1,198 ",523 ,369 ,18 ,"18,908 ","13,087 ","4,255 ","1,551 ",15 ,"15,810 ","11,263 ","3,364 ","1,183 ",0 ,"2,813 ","1,711 ",818 ,283 ,1 ,285 ,113 ,73 ,85 ,14 ,70 ,28 ,13 ,28 ,1 ,"599,539 ","379,015 ","152,441 ","64,362 ","3,721 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"2,021 ",632 ,838 ,537 ,14 ,"77,337 ","44,710 ","27,064 ","5,553 ",10 ,"63,612 ","35,128 ","24,029 ","4,454 ",1 ,"11,810 ","8,459 ","2,475 ",876 ,0 ,"1,361 ",894 ,381 ,86 ,0 ,554 ,229 ,179 ,137 ,9 ,"2,238 ","1,024 ",759 ,413 ,42 ,"1,040 ",417 ,390 ,205 ,28 ,"1,198 ",607 ,369 ,208 ,14 ,"14,829 ","9,450 ","3,967 ","1,400 ",12 ,"12,297 ","8,125 ","3,154 ","1,018 ",0 ,"2,339 ","1,247 ",769 ,323 ,0 ,193 ,78 ,44 ,59 ,12 ,86 ,39 ,14 ,27 ,6 ,"526,229 ","326,877 ","145,199 ","49,971 ","4,182 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,378 ",542 ,403 ,413 ,20 ,"72,563 ","49,333 ","18,588 ","4,633 ",9 ,"58,038 ","37,562 ","16,853 ","3,623 ",0 ,"13,025 ","10,638 ","1,508 ",879 ,0 ,"1,098 ",909 ,134 ,55 ,0 ,402 ,224 ,93 ,76 ,9 ,"2,885 ","2,114 ",366 ,345 ,60 ,"1,878 ","1,434 ",206 ,211 ,27 ,"1,007 ",680 ,160 ,134 ,33 ,"21,714 ","18,081 ","2,339 ","1,240 ",54 ,"18,802 ","15,990 ","1,870 ",942 ,0 ,"2,677 ","1,991 ",431 ,255 ,0 ,235 ,100 ,38 ,43 ,54 ,61 ,32 ,12 ,11 ,6 ,"514,197 ","365,553 ","101,940 ","40,323 ","6,381 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006　Jan．,"1,672 ",307 ,471 ,894 ,0 ,"73,425 ","37,266 ","22,908 ","13,251 ",0 ,"57,337 ","26,629 ","20,709 ","9,999 ",0 ,"14,659 ","9,933 ","1,816 ","2,910 ",0 ,"1,006 ",604 ,247 ,155 ,0 ,423 ,100 ,136 ,187 ,0 ,"2,119 ",908 ,454 ,757 ,0 ,"1,147 ",446 ,268 ,433 ,0 ,972 ,462 ,186 ,324 ,0 ,"23,655 ","17,249 ","2,623 ","3,783 ",0 ,"20,315 ","15,417 ","2,106 ","2,792 ",0 ,"3,115 ","1,742 ",480 ,893 ,0 ,225 ,90 ,37 ,98 ,0 ,101 ,64 ,15 ,22 ,0 ,"613,596 ","413,532 ","108,512 ","91,552 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,154 ",233 ,513 ,408 ,0 ,"58,061 ","29,870 ","24,018 ","4,173 ",0 ,"47,426 ","22,560 ","21,653 ","3,213 ",0 ,"9,447 ","6,690 ","1,967 ",790 ,0 ,860 ,509 ,258 ,93 ,0 ,328 ,111 ,140 ,77 ,0 ,"1,726 ",782 ,523 ,421 ,0 ,846 ,345 ,289 ,212 ,0 ,880 ,437 ,234 ,209 ,0 ,"16,119 ","11,697 ","3,221 ","1,201 ",0 ,"14,141 ","10,624 ","2,609 ",908 ,0 ,"1,833 ","1,008 ",571 ,254 ,0 ,145 ,65 ,41 ,39 ,0 ,66 ,39 ,11 ,16 ,0 ,"513,906 ","339,445 ","119,099 ","55,362 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,929 ",667 ,739 ,523 ,0 ,"90,495 ","56,916 ","26,433 ","7,146 ",0 ,"73,875 ","44,921 ","23,413 ","5,541 ",0 ,"14,400 ","10,795 ","2,330 ","1,275 ",0 ,"1,605 ",962 ,484 ,159 ,0 ,615 ,238 ,206 ,171 ,0 ,"2,723 ","1,352 ",709 ,662 ,0 ,"1,412 ",661 ,358 ,393 ,0 ,"1,311 ",691 ,351 ,269 ,0 ,"17,902 ","12,010 ","3,886 ","2,006 ",0 ,"15,196 ","10,633 ","3,099 ","1,464 ",0 ,"2,465 ","1,284 ",711 ,470 ,0 ,241 ,93 ,76 ,72 ,0 ,77 ,45 ,12 ,20 ,0 ,"579,197 ","363,923 ","135,999 ","79,275 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,767 ",542 ,607 ,618 ,0 ,"92,944 ","60,999 ","24,759 ","7,186 ",0 ,"76,335 ","48,365 ","22,204 ","5,766 ",0 ,"13,972 ","10,647 ","2,125 ","1,200 ",0 ,"2,064 ","1,694 ",268 ,102 ,0 ,573 ,293 ,162 ,118 ,0 ,"3,189 ","2,007 ",613 ,569 ,0 ,"1,813 ","1,201 ",307 ,305 ,0 ,"1,376 ",806 ,306 ,264 ,0 ,"20,080 ","14,790 ","3,299 ","1,991 ",0 ,"16,441 ","12,407 ","2,616 ","1,418 ",0 ,"3,383 ","2,270 ",650 ,463 ,0 ,256 ,113 ,33 ,110 ,0 ,132 ,91 ,15 ,26 ,0 ,"672,319 ","474,844 ","127,062 ","70,413 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,763 ",473 ,754 ,536 ,0 ,"85,962 ","53,765 ","25,836 ","6,361 ",0 ,"72,321 ","44,301 ","23,144 ","4,876 ",0 ,"11,616 ","8,161 ","2,228 ","1,227 ",0 ,"1,467 ","1,076 ",279 ,112 ,0 ,558 ,227 ,185 ,146 ,0 ,"2,688 ","1,444 ",747 ,497 ,0 ,"1,303 ",652 ,385 ,266 ,0 ,"1,385 ",792 ,362 ,231 ,0 ,"17,909 ","11,809 ","4,275 ","1,825 ",0 ,"14,943 ","10,248 ","3,373 ","1,322 ",0 ,"2,570 ","1,387 ",821 ,362 ,0 ,396 ,174 ,81 ,141 ,0 ,68 ,43 ,12 ,13 ,0 ,"586,326 ","391,485 ","134,013 ","60,828 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,642 ",466 ,659 ,517 ,0 ,"94,838 ","66,053 ","24,070 ","4,715 ",0 ,"83,297 ","57,846 ","21,752 ","3,699 ",0 ,"9,898 ","7,196 ","1,899 ",803 ,0 ,"1,200 ",834 ,257 ,109 ,0 ,443 ,177 ,162 ,104 ,0 ,"2,360 ","1,364 ",510 ,486 ,0 ,"1,216 ",659 ,269 ,288 ,0 ,"1,144 ",705 ,241 ,198 ,0 ,"17,186 ","12,422 ","3,444 ","1,320 ",0 ,"14,536 ","10,884 ","2,735 ",917 ,0 ,"2,282 ","1,378 ",653 ,251 ,0 ,368 ,160 ,56 ,152 ,0 ,71 ,43 ,18 ,10 ,0 ,"557,600 ","393,762 ","120,546 ","43,292 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,980 ",592 ,700 ,688 ,0 ,"94,973 ","66,066 ","21,954 ","6,953 ",0 ,"77,174 ","51,967 ","19,671 ","5,536 ",0 ,"14,714 ","11,784 ","1,765 ","1,165 ",0 ,"2,482 ","2,067 ",305 ,110 ,0 ,603 ,248 ,213 ,142 ,0 ,"3,242 ","2,146 ",667 ,429 ,0 ,"1,857 ","1,263 ",324 ,270 ,0 ,"1,385 ",883 ,343 ,159 ,0 ,"18,980 ","13,492 ","3,702 ","1,786 ",0 ,"15,713 ","11,410 ","3,015 ","1,288 ",0 ,"2,867 ","1,822 ",641 ,404 ,0 ,400 ,260 ,46 ,94 ,0 ,114 ,70 ,13 ,31 ,0 ,"701,527 ","524,366 ","122,521 ","54,640 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"2,329 ",700 ,607 ,"1,022 ",0 ,"79,132 ","47,495 ","19,622 ","12,015 ",0 ,"63,280 ","36,316 ","17,701 ","9,263 ",0 ,"13,609 ","9,776 ","1,541 ","2,292 ",0 ,"1,498 ","1,130 ",223 ,145 ,0 ,745 ,273 ,157 ,315 ,0 ,"2,602 ","1,408 ",555 ,639 ,0 ,"1,382 ",689 ,324 ,369 ,0 ,"1,220 ",719 ,231 ,270 ,0 ,"16,546 ","10,900 ","3,036 ","2,610 ",0 ,"13,804 ","9,434 ","2,501 ","1,869 ",0 ,"2,469 ","1,335 ",500 ,634 ,0 ,273 ,131 ,35 ,107 ,0 ,99 ,75 ,11 ,13 ,0 ,"655,488 ","467,016 ","102,073 ","86,399 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,128 ",608 ,836 ,684 ,0 ,"73,430 ","40,887 ","25,430 ","7,113 ",0 ,"59,990 ","32,056 ","22,528 ","5,406 ",0 ,"10,819 ","7,132 ","2,287 ","1,400 ",0 ,"2,041 ","1,463 ",412 ,166 ,0 ,580 ,236 ,203 ,141 ,0 ,"3,149 ","1,832 ",700 ,617 ,0 ,"1,551 ",921 ,377 ,253 ,0 ,"1,598 ",911 ,323 ,364 ,0 ,"23,541 ","17,863 ","3,954 ","1,724 ",0 ,"19,812 ","15,317 ","3,178 ","1,317 ",0 ,"3,444 ","2,433 ",720 ,291 ,0 ,285 ,113 ,56 ,116 ,0 ,81 ,46 ,16 ,19 ,0 ,"573,627 ","358,422 ","134,877 ","80,328 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"2,334 ",763 ,916 ,655 ,0 ,"100,344 ","63,658 ","30,952 ","5,734 ",0 ,"82,097 ","50,031 ","27,536 ","4,530 ",0 ,"14,899 ","11,224 ","2,742 ",933 ,0 ,"2,168 ","1,619 ",447 ,102 ,0 ,"1,180 ",784 ,227 ,169 ,0 ,"4,318 ","2,752 ","1,026 ",540 ,0 ,"2,301 ","1,504 ",553 ,244 ,0 ,"2,017 ","1,248 ",473 ,296 ,0 ,"19,405 ","13,168 ","4,626 ","1,611 ",0 ,"16,424 ","11,441 ","3,748 ","1,235 ",0 ,"2,658 ","1,577 ",808 ,273 ,0 ,323 ,150 ,70 ,103 ,0 ,97 ,68 ,7 ,22 ,0 ,"699,605 ","475,608 ","157,772 ","66,225 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,782 ",491 ,768 ,523 ,0 ,"82,931 ","50,534 ","26,934 ","5,463 ",0 ,"65,216 ","37,215 ","23,632 ","4,369 ",0 ,"15,043 ","11,488 ","2,710 ",845 ,0 ,"2,102 ","1,559 ",419 ,124 ,0 ,570 ,272 ,173 ,125 ,0 ,"2,640 ","1,376 ",869 ,395 ,0 ,"1,224 ",632 ,425 ,167 ,0 ,"1,416 ",744 ,444 ,228 ,0 ,"15,324 ","9,422 ","4,416 ","1,486 ",0 ,"12,900 ","8,163 ","3,617 ","1,120 ",0 ,"2,205 ","1,174 ",742 ,289 ,0 ,219 ,85 ,57 ,77 ,0 ,66 ,35 ,18 ,13 ,0 ,"595,069 ","388,497 ","154,938 ","51,634 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,416 ",499 ,482 ,435 ,0 ,"74,966 ","52,068 ","18,256 ","4,642 ",0 ,"58,379 ","38,267 ","16,487 ","3,625 ",0 ,"14,362 ","12,069 ","1,447 ",846 ,0 ,"1,881 ","1,571 ",217 ,93 ,0 ,344 ,161 ,105 ,78 ,0 ,"3,043 ","2,317 ",387 ,339 ,0 ,"2,083 ","1,650 ",232 ,201 ,0 ,960 ,667 ,155 ,138 ,0 ,"24,100 ","20,359 ","2,441 ","1,300 ",0 ,"20,869 ","17,851 ","2,001 ","1,017 ",0 ,"3,048 ","2,386 ",414 ,248 ,0 ,183 ,122 ,26 ,35 ,0 ,76 ,62 ,9 ,5 ,0 ,"585,817 ","438,422 ","105,600 ","41,795 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007　Jan．,"1,907 ",320 ,629 ,958 ,0 ,"70,078 ","33,423 ","23,724 ","12,931 ",0 ,"54,148 ","22,929 ","21,214 ","10,005 ",0 ,"13,834 ","9,260 ","2,049 ","2,525 ",0 ,"1,631 ","1,122 ",287 ,222 ,0 ,465 ,112 ,174 ,179 ,0 ,"2,279 ",861 ,606 ,812 ,0 ,"1,191 ",393 ,377 ,421 ,0 ,"1,088 ",468 ,229 ,391 ,0 ,"26,472 ","19,904 ","3,081 ","3,487 ",0 ,"23,075 ","18,002 ","2,513 ","2,560 ",0 ,"3,119 ","1,802 ",512 ,805 ,0 ,278 ,100 ,56 ,122 ,0 ,51 ,43 ,3 ,5 ,0 ,"617,885 ","401,624 ","120,398 ","95,863 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,283 ",280 ,487 ,516 ,0 ,"61,929 ","35,329 ","22,233 ","4,367 ",0 ,"48,052 ","24,731 ","19,835 ","3,486 ",0 ,"12,196 ","9,534 ","1,960 ",702 ,0 ,"1,271 ",944 ,257 ,70 ,0 ,410 ,120 ,181 ,109 ,0 ,"1,811 ",855 ,560 ,396 ,0 ,931 ,357 ,319 ,255 ,0 ,880 ,498 ,241 ,141 ,0 ,"17,909 ","13,351 ","3,258 ","1,300 ",0 ,"15,640 ","12,035 ","2,630 ",975 ,0 ,"2,056 ","1,232 ",569 ,255 ,0 ,213 ,84 ,59 ,70 ,0 ,95 ,78 ,5 ,12 ,0 ,"631,278 ","468,163 ","110,681 ","52,434 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"2,210 ",687 ,959 ,564 ,0 ,"95,289 ","61,375 ","26,718 ","7,196 ",0 ,"75,991 ","46,753 ","23,532 ","5,706 ",0 ,"15,964 ","12,294 ","2,468 ","1,202 ",0 ,"2,770 ","2,114 ",506 ,150 ,0 ,564 ,214 ,212 ,138 ,0 ,"2,909 ","1,442 ",909 ,558 ,0 ,"1,379 ",611 ,491 ,277 ,0 ,"1,530 ",831 ,418 ,281 ,0 ,"19,567 ","13,647 ","4,018 ","1,902 ",0 ,"16,824 ","12,139 ","3,284 ","1,401 ",0 ,"2,478 ","1,366 ",688 ,424 ,0 ,265 ,142 ,46 ,77 ,0 ,79 ,50 ,3 ,26 ,0 ,"684,654 ","452,074 ","141,503 ","91,077 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,628 ",541 ,583 ,504 ,0 ,"92,386 ","61,326 ","24,619 ","6,441 ",0 ,"74,772 ","47,691 ","21,891 ","5,190 ",0 ,"14,683 ","11,395 ","2,224 ","1,064 ",0 ,"2,395 ","2,018 ",298 ,79 ,0 ,536 ,222 ,206 ,108 ,0 ,"3,230 ","2,053 ",639 ,538 ,0 ,"1,795 ","1,076 ",383 ,336 ,0 ,"1,435 ",977 ,256 ,202 ,0 ,"21,184 ","16,113 ","3,310 ","1,761 ",0 ,"17,683 ","13,696 ","2,711 ","1,276 ",0 ,"3,217 ","2,255 ",557 ,405 ,0 ,284 ,162 ,42 ,80 ,0 ,101 ,74 ,14 ,13 ,0 ,"714,014 ","517,652 ","127,778 ","68,584 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"2,028 ",544 ,874 ,610 ,0 ,"87,553 ","55,060 ","26,053 ","6,440 ",0 ,"72,359 ","44,209 ","23,118 ","5,032 ",0 ,"12,213 ","8,702 ","2,316 ","1,195 ",0 ,"2,390 ","1,940 ",356 ,94 ,0 ,591 ,209 ,263 ,119 ,0 ,"3,127 ","1,786 ",879 ,462 ,0 ,"1,490 ",716 ,495 ,279 ,0 ,"1,637 ","1,070 ",384 ,183 ,0 ,"17,582 ","11,470 ","4,405 ","1,707 ",0 ,"14,748 ","9,933 ","3,548 ","1,267 ",0 ,"2,566 ","1,432 ",790 ,344 ,0 ,268 ,105 ,67 ,96 ,0 ,52 ,42 ,3 ,7 ,0 ,"664,489 ","462,407 ","138,016 ","64,066 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,548 ",393 ,656 ,499 ,0 ,"90,821 ","61,830 ","24,464 ","4,527 ",0 ,"77,898 ","52,326 ","21,929 ","3,643 ",0 ,"10,151 ","7,394 ","2,023 ",734 ,0 ,"2,313 ","1,911 ",326 ,76 ,0 ,459 ,199 ,186 ,74 ,0 ,"2,714 ","1,594 ",742 ,378 ,0 ,"1,447 ",872 ,398 ,177 ,0 ,"1,267 ",722 ,344 ,201 ,0 ,"20,404 ","15,598 ","3,573 ","1,233 ",0 ,"17,483 ","13,640 ","2,906 ",937 ,0 ,"2,610 ","1,751 ",626 ,233 ,0 ,311 ,207 ,41 ,63 ,0 ,73 ,47 ,9 ,17 ,0 ,"631,874 ","456,056 ","128,600 ","47,218 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,962 ",649 ,696 ,617 ,0 ,"95,351 ","66,532 ","22,077 ","6,742 ",0 ,"76,444 ","51,186 ","19,817 ","5,441 ",0 ,"14,978 ","12,112 ","1,791 ","1,075 ",0 ,"3,304 ","2,937 ",261 ,106 ,0 ,625 ,297 ,208 ,120 ,0 ,"3,207 ","2,045 ",627 ,535 ,0 ,"1,900 ","1,185 ",372 ,343 ,0 ,"1,307 ",860 ,255 ,192 ,0 ,"21,488 ","15,720 ","3,914 ","1,854 ",0 ,"17,851 ","13,249 ","3,228 ","1,374 ",0 ,"3,237 ","2,210 ",657 ,370 ,0 ,400 ,261 ,29 ,110 ,0 ,79 ,62 ,8 ,9 ,0 ,"807,737 ","621,877 ","129,337 ","56,523 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"2,691 ","1,171 ",636 ,884 ,0 ,"79,176 ","48,570 ","18,570 ","12,036 ",0 ,"62,875 ","36,606 ","16,710 ","9,559 ",0 ,"13,496 ","9,838 ","1,493 ","2,165 ",0 ,"2,039 ","1,679 ",225 ,135 ,0 ,766 ,447 ,142 ,177 ,0 ,"2,925 ","1,698 ",591 ,636 ,0 ,"1,474 ",811 ,323 ,340 ,0 ,"1,451 ",887 ,268 ,296 ,0 ,"17,098 ","11,500 ","3,209 ","2,389 ",0 ,"14,232 ","9,825 ","2,637 ","1,770 ",0 ,"2,581 ","1,515 ",534 ,532 ,0 ,285 ,160 ,38 ,87 ,0 ,70 ,53 ,2 ,15 ,0 ,"757,473 ","566,071 ","103,677 ","87,725 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,075 ",632 ,653 ,790 ,0 ,"80,729 ","47,124 ","26,114 ","7,491 ",0 ,"65,293 ","36,437 ","23,035 ","5,821 ",0 ,"12,141 ","8,371 ","2,424 ","1,346 ",0 ,"2,585 ","1,994 ",439 ,152 ,0 ,710 ,322 ,216 ,172 ,0 ,"3,639 ","2,029 ",970 ,640 ,0 ,"1,819 ",971 ,514 ,334 ,0 ,"1,820 ","1,058 ",456 ,306 ,0 ,"26,118 ","20,207 ","4,104 ","1,807 ",0 ,"21,882 ","17,279 ","3,278 ","1,325 ",0 ,"3,875 ","2,758 ",764 ,353 ,0 ,361 ,170 ,62 ,129 ,0 ,65 ,42 ,8 ,15 ,0 ,"689,183 ","459,813 ","141,413 ","87,957 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"2,344 ",615 ,919 ,810 ,0 ,"98,740 ","63,368 ","30,011 ","5,361 ",0 ,"79,332 ","48,621 ","26,454 ","4,257 ",0 ,"15,509 ","11,896 ","2,768 ",845 ,0 ,"3,072 ","2,468 ",499 ,105 ,0 ,827 ,383 ,290 ,154 ,0 ,"4,720 ","3,131 ","1,029 ",560 ,0 ,"2,358 ","1,612 ",508 ,238 ,0 ,"2,362 ","1,519 ",521 ,322 ,0 ,"23,638 ","17,374 ","4,825 ","1,439 ",0 ,"20,192 ","15,162 ","3,952 ","1,078 ",0 ,"3,019 ","1,969 ",802 ,248 ,0 ,427 ,243 ,71 ,113 ,0 ,60 ,48 ,3 ,9 ,0 ,"785,207 ","550,587 ","167,008 ","67,612 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"2,111 ",702 ,828 ,581 ,0 ,"81,464 ","49,164 ","27,106 ","5,194 ",0 ,"64,115 ","36,258 ","23,637 ","4,220 ",0 ,"14,596 ","11,032 ","2,831 ",733 ,0 ,"2,103 ","1,585 ",426 ,92 ,0 ,650 ,289 ,212 ,149 ,0 ,"2,825 ","1,385 ","1,053 ",387 ,0 ,"1,434 ",666 ,585 ,183 ,0 ,"1,391 ",719 ,468 ,204 ,0 ,"18,912 ","13,176 ","4,337 ","1,399 ",0 ,"16,088 ","11,503 ","3,542 ","1,043 ",0 ,"2,614 ","1,601 ",741 ,272 ,0 ,210 ,72 ,54 ,84 ,0 ,92 ,65 ,17 ,10 ,0 ,"686,747 ","476,640 ","157,579 ","52,528 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
